Jogador;Competição;Partidas Jogadas;Minutos Jogados;Gols;Assistências;G+A
Marc-André ter Stegen;Champions League;13;1.170;0;0;0
Lionel Messi;Champions League;13;1.147;10;6;16
Javier Mascherano;Champions League;12;1.079;0;1;1
Neymar;Champions League;12;1.027;10;1;11
Gerard Piqué;Champions League;11;990;1;0;1
Jordi Alba;Champions League;11;962;0;1;1
Dani Alves;Champions League;11;961;0;4;4
Ivan Rakitić;Champions League;12;886;2;1;3
Luis Suárez;Champions League;10;828;7;3;10
Andrés Iniesta;Champions League;11;787;0;5;5
Sergio Busquets;Champions League;10;788;0;0;0
Marc Bartra;Champions League;6;451;0;1;1
Pedro;Champions League;9;394;0;2;2
Jérémy Mathieu;Champions League;7;323;0;0;0
Xavi;Champions League;10;333;0;0;0
Adriano;Champions League;7;150;0;0;0
Munir El Haddadi;Champions League;3;119;0;0;0
Rafinha;Champions League;6;114;0;1;1
Sergi Roberto;Champions League;2;114;0;0;0
Sergi Samper;Champions League;1;90;0;0;0
Martín Montoya;Champions League;1;80;0;0;0
Sandro Ramírez;Champions League;3;57;1;0;1
Claudio Bravo;Champions League;0;0;0;0;0
Douglas;Champions League;0;0;0;0;0
Thomas Vermaelen;Champions League;0;0;0;0;0
