Jogador;Competição;Partidas Jogadas;Minutos Jogados;Gols;Assistências;G+A
Marc-André ter Stegen;Copa del Rey;8;720;0;0;0
Javier Mascherano;Copa del Rey;7;586;0;1;1
Andrés Iniesta;Copa del Rey;7;544;3;0;3
Lionel Messi;Copa del Rey;6;540;5;3;8
Luis Suárez;Copa del Rey;6;526;2;2;4
Gerard Piqué;Copa del Rey;6;524;1;0;1
Neymar;Copa del Rey;6;501;7;0;7
Jordi Alba;Copa del Rey;6;495;1;1;2
Dani Alves;Copa del Rey;5;450;0;2;2
Ivan Rakitić;Copa del Rey;7;425;1;0;1
Rafinha;Copa del Rey;6;421;1;0;1
Marc Bartra;Copa del Rey;5;365;0;0;0
Sergio Busquets;Copa del Rey;4;312;0;0;0
Jérémy Mathieu;Copa del Rey;6;333;1;0;1
Adriano;Copa del Rey;4;301;2;0;2
Sergi Roberto;Copa del Rey;4;298;2;0;2
Pedro;Copa del Rey;6;278;5;0;5
Martín Montoya;Copa del Rey;3;240;0;0;0
Munir El Haddadi;Copa del Rey;3;237;0;0;0
Sergi Samper;Copa del Rey;3;196;0;0;0
Douglas;Copa del Rey;3;165;0;0;0
Gerard Gumbau;Copa del Rey;1;90;0;0;0
Jordi Masip;Copa del Rey;1;90;0;0;0
Adama Traoré;Copa del Rey;2;77;1;0;1
Xavi;Copa del Rey;3;77;0;1;1
Sandro Ramírez;Copa del Rey;2;61;1;0;1
Alen Halilović;Copa del Rey;1;30;0;0;0
Edgar Ié;Copa del Rey;1;28;0;0;0
Claudio Bravo;Copa del Rey;0;0;0;0;0
Diawandou Diagne;Copa del Rey;0;0;0;0;0
