Jogador;Competição;Partidas Jogadas;Minutos Jogados;Gols;Assistências;G+A
Lionel Messi;LaLiga;38;3.375;43;18;61
Claudio Bravo;LaLiga;37;3.330;0;0;0
Neymar;LaLiga;33;2.562;22;7;29
Dani Alves;LaLiga;30;2.517;0;6;6
Sergio Busquets;LaLiga;33;2.475;0;2;2
Jordi Alba;LaLiga;27;2.329;1;3;4
Gerard Piqué;LaLiga;27;2.385;5;1;6
Javier Mascherano;LaLiga;28;2.205;0;0;0
Luis Suárez;LaLiga;27;2.159;16;13;29
Jérémy Mathieu;LaLiga;28;2.106;2;0;2
Ivan Rakitić;LaLiga;32;2.030;5;8;13
Xavi;LaLiga;31;1.785;2;9;11
Andrés Iniesta;LaLiga;24;1.574;0;1;1
Pedro;LaLiga;35;1.555;6;6;12
Rafinha;LaLiga;24;1.157;1;0;1
Marc Bartra;LaLiga;14;1.036;1;3;4
Adriano;LaLiga;16;962;0;1;1
Munir El Haddadi;LaLiga;10;457;1;1;2
Martín Montoya;LaLiga;8;591;0;0;0
Sergi Roberto;LaLiga;12;517;0;0;0
Douglas;LaLiga;2;100;0;0;0
Jordi Masip;LaLiga;1;90;0;0;0
Thomas Vermaelen;LaLiga;1;61;0;0;0
Sandro Ramírez;LaLiga;7;158;2;0;2
Marc-André ter Stegen;LaLiga;0;0;0;0;0
